county_name,owning_jurisdiction,total_miles,total_lane_miles
ALBANY,03 Town,1035.0,1999.6
ALBANY,01 NYSDOT,387.0,907.0
ALBANY,04 City or village,397.9,779.8
ALBANY,02 County,287.8,585.4
ALBANY,31 NYS Thruway,70.3,143.8
ALBANY,21 Other State agencies,26.2,54.4
ALBANY,90 Public - Unclaimed,28.0,53.3
ALBANY,26 Private or Restricted Access,9.0,16.9
ALBANY,12 Local Parks,5.3,10.2
ALBANY,11 State Parks,5.0,10.1
ALBANY,40 Other Public Instrumentality,4.4,8.6
ALBANY,74 Army,4.1,7.9
ALBANY,25 Other local agencies,3.7,6.7
ALBANY,91 Public Restricted,0.6,1.3
ALBANY,27 Railroad,0.3,0.7
ALBANY,41 Local Service,0.1,0.2
ALLEGANY,03 Town,1215.4,2407.7
ALLEGANY,02 County,341.4,682.8
ALLEGANY,01 NYSDOT,272.2,545.2
ALLEGANY,04 City or village,72.9,145.2
ALLEGANY,21 Other State agencies,6.3,11.7
ALLEGANY,26 Private or Restricted Access,5.7,9.3
ALLEGANY,50 Indian Tribal Government,0.3,0.6
ALLEGANY,11 State Parks,0.4,0.4
BRONX,04 City or village,753.8,1507.8
BRONX,01 NYSDOT,109.8,265.4
BRONX,31 NYS Thruway,12.8,26.3
BRONX,32 Other Toll Authority,7.4,22.7
BRONX,26 Private or Restricted Access,10.0,12.1
BRONX,21 Other State agencies,2.3,2.7
BRONX,12 Local Parks,0.8,1.5
BRONX,90 Public - Unclaimed,0.3,0.3
BROOME,03 Town,1059.6,2119.6
BROOME,01 NYSDOT,445.5,952.0
BROOME,02 County,340.9,686.6
BROOME,04 City or village,267.8,537.6
BROOME,21 Other State agencies,9.4,18.4
BROOME,11 State Parks,6.1,12.2
BROOME,26 Private or Restricted Access,5.5,11.0
BROOME,70 Corps of Engineers (Civil),4.5,5.3
BROOME,12 Local Parks,0.3,0.7
CATTARAUGUS,03 Town,1208.4,2372.4
CATTARAUGUS,01 NYSDOT,395.0,806.8
CATTARAUGUS,02 County,392.3,785.2
CATTARAUGUS,04 City or village,152.3,304.3
CATTARAUGUS,11 State Parks,83.5,162.0
CATTARAUGUS,62 Bureau of Indian Affairs,36.8,70.1
CATTARAUGUS,50 Indian Tribal Government,18.2,36.4
CATTARAUGUS,26 Private or Restricted Access,4.6,8.7
CATTARAUGUS,21 Other State agencies,4.2,8.1
CAYUGA,03 Town,697.1,1350.3
CAYUGA,02 County,508.7,1016.8
CAYUGA,01 NYSDOT,276.3,569.5
CAYUGA,04 City or village,133.1,270.3
CAYUGA,31 NYS Thruway,28.9,54.5
CAYUGA,26 Private or Restricted Access,2.4,4.0
CAYUGA,12 Local Parks,0.7,1.5
CAYUGA,11 State Parks,0.6,1.1
CAYUGA,21 Other State agencies,0.2,0.3
CHAUTAUQUA,03 Town,1199.9,2377.0
CHAUTAUQUA,02 County,550.6,1105.9
CHAUTAUQUA,01 NYSDOT,409.1,828.6
CHAUTAUQUA,04 City or village,307.5,613.6
CHAUTAUQUA,31 NYS Thruway,97.0,181.7
CHAUTAUQUA,21 Other State agencies,11.5,20.9
CHAUTAUQUA,26 Private or Restricted Access,10.3,20.1
CHAUTAUQUA,90 Public - Unclaimed,9.6,17.6
CHAUTAUQUA,11 State Parks,4.8,9.2
CHAUTAUQUA,40 Other Public Instrumentality,4.7,7.8
CHAUTAUQUA,62 Bureau of Indian Affairs,2.1,3.9
CHAUTAUQUA,91 Public Restricted,0.9,1.7
CHAUTAUQUA,60 Other Federal agencies,0.5,1.0
CHAUTAUQUA,12 Local Parks,0.1,0.3
CHAUTAUQUA,74 Army,0.1,0.2
CHEMUNG,03 Town,566.0,1127.7
CHEMUNG,02 County,245.2,495.6
CHEMUNG,01 NYSDOT,170.4,353.3
CHEMUNG,04 City or village,175.3,349.8
CHEMUNG,21 Other State agencies,4.3,7.2
CHEMUNG,26 Private or Restricted Access,1.9,3.0
CHEMUNG,90 Public - Unclaimed,0.5,1.0
CHENANGO,03 Town,1092.2,2138.7
CHENANGO,02 County,307.2,615.9
CHENANGO,01 NYSDOT,278.7,558.7
CHENANGO,04 City or village,63.2,124.1
CHENANGO,11 State Parks,4.9,9.8
CHENANGO,26 Private or Restricted Access,3.7,6.8
CHENANGO,21 Other State agencies,3.0,5.1
CHENANGO,95 Non-Mainline - Connector,0.0,0.0
CLINTON,03 Town,801.3,1606.5
CLINTON,02 County,345.6,692.2
CLINTON,01 NYSDOT,338.2,668.3
CLINTON,04 City or village,81.7,166.1
CLINTON,26 Private or Restricted Access,9.7,19.0
CLINTON,21 Other State agencies,4.2,6.6
CLINTON,11 State Parks,1.2,2.3
CLINTON,25 Other local agencies,0.9,1.8
CLINTON,12 Local Parks,0.7,1.4
CLINTON,90 Public - Unclaimed,0.2,0.3
CLINTON,74 Army,0.0,0.1
COLUMBIA,03 Town,884.3,1744.9
COLUMBIA,01 NYSDOT,272.1,613.5
COLUMBIA,02 County,263.3,526.6
COLUMBIA,04 City or village,50.6,105.7
COLUMBIA,31 NYS Thruway,35.2,65.8
COLUMBIA,26 Private or Restricted Access,8.2,14.3
COLUMBIA,21 Other State agencies,3.8,6.5
COLUMBIA,32 Other Toll Authority,0.5,1.0
COLUMBIA,66 National Park Service,0.5,0.5
COLUMBIA,11 State Parks,0.2,0.2
COLUMBIA,90 Public - Unclaimed,0.1,0.2
CORTLAND,03 Town,497.6,957.9
CORTLAND,02 County,247.0,494.1
CORTLAND,01 NYSDOT,237.0,477.9
CORTLAND,04 City or village,68.9,140.5
CORTLAND,21 Other State agencies,3.7,7.4
CORTLAND,26 Private or Restricted Access,1.2,1.8
DELAWARE,03 Town,1509.3,2955.8
DELAWARE,01 NYSDOT,370.3,804.5
DELAWARE,02 County,256.2,513.8
DELAWARE,04 City or village,80.4,155.6
DELAWARE,25 Other local agencies,36.3,71.8
DELAWARE,21 Other State agencies,3.1,5.7
DELAWARE,26 Private or Restricted Access,2.5,4.3
DELAWARE,70 Corps of Engineers (Civil),1.1,1.8
DUTCHESS,03 Town,1466.0,2907.8
DUTCHESS,01 NYSDOT,415.6,987.2
DUTCHESS,02 County,392.5,787.6
DUTCHESS,04 City or village,181.4,358.9
DUTCHESS,21 Other State agencies,21.5,37.1
DUTCHESS,26 Private or Restricted Access,11.2,22.6
DUTCHESS,11 State Parks,4.9,9.7
DUTCHESS,32 Other Toll Authority,4.0,9.7
DUTCHESS,66 National Park Service,4.5,7.3
DUTCHESS,25 Other local agencies,0.4,0.9
DUTCHESS,12 Local Parks,0.3,0.6
DUTCHESS,90 Public - Unclaimed,0.1,0.3
DUTCHESS,74 Army,0.1,0.1
ERIE,03 Town,1806.5,3619.5
ERIE,02 County,1180.6,2458.2
ERIE,04 City or village,999.5,1960.2
ERIE,01 NYSDOT,609.4,1677.4
ERIE,31 NYS Thruway,198.0,395.8
ERIE,90 Public - Unclaimed,39.1,71.9
