county,primary_owner,total_culverts
ALBANY,10--NYSDOT,176
ALLEGANY,10--NYSDOT,200
BROOME,10--NYSDOT,203
BROOME,42--42 - City,2
BROOME,56--56 - Military Reservation / Corps of Engineers,1
BROOME,20--20 - State - Other,1
CATTARAUGUS,10--NYSDOT,219
CAYUGA,10--NYSDOT,106
CHAUTAUQUA,10--NYSDOT,271
CHEMUNG,10--NYSDOT,89
CHENANGO,10--NYSDOT,137
CHENANGO,70--70 - Private - Industrial,1
CLINTON,10--NYSDOT,122
COLUMBIA,10--NYSDOT,128
CORTLAND,10--NYSDOT,109
DELAWARE,10--NYSDOT,182
DUTCHESS,10--NYSDOT,279
ERIE,10--NYSDOT,293
ERIE,40--40 - Town,1
ERIE,30--30 - County,1
ESSEX,10--NYSDOT,208
ESSEX,20--20 - State - Other,3
ESSEX,21--21 - Authority or Commission - Other,3
FRANKLIN,10--NYSDOT,114
FRANKLIN,50--50 - Federal (Other than those listed below),6
FULTON,10--NYSDOT,67
GENESEE,10--NYSDOT,72
GREENE,10--NYSDOT,132
HAMILTON,10--NYSDOT,73
HERKIMER,10--NYSDOT,153
HERKIMER,41--41 - Village,2
HERKIMER,40--40 - Town,1
JEFFERSON,10--NYSDOT,179
LEWIS,10--NYSDOT,68
LIVINGSTON,10--NYSDOT,186
MADISON,10--NYSDOT,78
MONROE,10--NYSDOT,173
MONROE,2A--2A - Genesee State Parks and Recreation Commission,20
MONROE,72--72 - Other,1
MONTGOMERY,10--NYSDOT,90
NASSAU,2F--2F - Long Island State Parks And Recreation Commission,34
NASSAU,10--NYSDOT,20
NIAGARA,10--NYSDOT,121
NIAGARA,2J--2J - Niagara Frontier State Park Commission,1
NIAGARA,42--42 - City,1
ONEIDA,10--NYSDOT,219
ONONDAGA,10--NYSDOT,193
ONTARIO,10--NYSDOT,134
ONTARIO,41--41 - Village,1
ONTARIO,70--70 - Private - Industrial,1
ORANGE,10--NYSDOT,269
ORANGE,70--70 - Private - Industrial,1
ORLEANS,10--NYSDOT,89
OSWEGO,10--NYSDOT,128
OTSEGO,10--NYSDOT,184
PUTNAM,10--NYSDOT,72
QUEENS,10--NYSDOT,1
RENSSELAER,10--NYSDOT,89
RICHMOND,10--NYSDOT,7
ROCKLAND,10--NYSDOT,62
SARATOGA,10--NYSDOT,120
SCHENECTADY,10--NYSDOT,98
SCHENECTADY,70--70 - Private - Industrial,1
SCHENECTADY,42--42 - City,1
SCHOHARIE,10--NYSDOT,123
SCHUYLER,10--NYSDOT,69
SENECA,10--NYSDOT,68
STEUBEN,10--NYSDOT,285
ST LAWRENCE,10--NYSDOT,172
SUFFOLK,10--NYSDOT,50
SUFFOLK,2F--2F - Long Island State Parks And Recreation Commission,4
SUFFOLK,41--41 - Village,1
SULLIVAN,10--NYSDOT,97
TIOGA,10--NYSDOT,95
TIOGA,41--41 - Village,1
TOMPKINS,10--NYSDOT,65
ULSTER,10--NYSDOT,178
WARREN,10--NYSDOT,148
WARREN,2C--2C - NYS Dept of Environmental Conservation,2
WASHINGTON,10--NYSDOT,81
WAYNE,10--NYSDOT,64
WESTCHESTER,10--NYSDOT,297
WYOMING,10--NYSDOT,92
WYOMING,72--72 - Other,1
YATES,10--NYSDOT,98
