bin,county,primary_owner,primary_maintenance,condition_rating
C111855,ALBANY,10--NYSDOT,10--NYSDOT,7
C110164,ALBANY,10--NYSDOT,10--NYSDOT,5.66699981689453
C110057,ALBANY,10--NYSDOT,10--NYSDOT,6.33300018310547
C110056,ALBANY,10--NYSDOT,10--NYSDOT,5
C110055,ALBANY,10--NYSDOT,10--NYSDOT,5.66699981689453
C110053,ALBANY,10--NYSDOT,10--NYSDOT,6
C110052,ALBANY,10--NYSDOT,10--NYSDOT,7
C110051,ALBANY,10--NYSDOT,10--NYSDOT,7
C110062,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C110061,ALBANY,10--NYSDOT,10--NYSDOT,5
C110060,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C110059,ALBANY,10--NYSDOT,10--NYSDOT,4
C130108,ALBANY,10--NYSDOT,10--NYSDOT,4
C130107,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C130106,ALBANY,10--NYSDOT,10--NYSDOT,5.66699981689453
C130270,ALBANY,10--NYSDOT,10--NYSDOT,7
C110063,ALBANY,10--NYSDOT,10--NYSDOT,5
C110064,ALBANY,10--NYSDOT,10--NYSDOT,5.66699981689453
C110065,ALBANY,10--NYSDOT,10--NYSDOT,4.47399997711182
C110066,ALBANY,10--NYSDOT,10--NYSDOT,4.47399997711182
C110068,ALBANY,10--NYSDOT,10--NYSDOT,5
C110071,ALBANY,10--NYSDOT,10--NYSDOT,7
C110069,ALBANY,10--NYSDOT,10--NYSDOT,6.33300018310547
C110067,ALBANY,10--NYSDOT,10--NYSDOT,7
C110074,ALBANY,10--NYSDOT,10--NYSDOT,6.33300018310547
C110073,ALBANY,10--NYSDOT,10--NYSDOT,3.66700005531311
C110072,ALBANY,10--NYSDOT,10--NYSDOT,6
C110076,ALBANY,10--NYSDOT,10--NYSDOT,6.33300018310547
C110077,ALBANY,10--NYSDOT,10--NYSDOT,6.33300018310547
C110078,ALBANY,10--NYSDOT,10--NYSDOT,6.44399976730347
C110080,ALBANY,10--NYSDOT,10--NYSDOT,3.66700005531311
C110081,ALBANY,10--NYSDOT,10--NYSDOT,6.33300018310547
C110075,ALBANY,10--NYSDOT,10--NYSDOT,7
C110082,ALBANY,10--NYSDOT,10--NYSDOT,5.66699981689453
C110079,ALBANY,10--NYSDOT,10--NYSDOT,7
C110096,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C110089,ALBANY,10--NYSDOT,10--NYSDOT,3
C110085,ALBANY,10--NYSDOT,10--NYSDOT,7
C110087,ALBANY,10--NYSDOT,10--NYSDOT,7
C110086,ALBANY,10--NYSDOT,10--NYSDOT,7
C110084,ALBANY,10--NYSDOT,10--NYSDOT,7
CA00159,ALBANY,10--NYSDOT,10--NYSDOT,5
CA00312,ALBANY,10--NYSDOT,10--NYSDOT,7
C110001,ALBANY,10--NYSDOT,10--NYSDOT,7
C110015,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C110013,ALBANY,10--NYSDOT,10--NYSDOT,4
C110023,ALBANY,10--NYSDOT,10--NYSDOT,7
C110033,ALBANY,10--NYSDOT,10--NYSDOT,4.2170000076294
C110034,ALBANY,10--NYSDOT,10--NYSDOT,6.33300018310547
C111455,ALBANY,10--NYSDOT,10--NYSDOT,5
C111454,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C111453,ALBANY,10--NYSDOT,10--NYSDOT,5
C111452,ALBANY,10--NYSDOT,10--NYSDOT,5
C111451,ALBANY,10--NYSDOT,10--NYSDOT,5
C110161,ALBANY,10--NYSDOT,10--NYSDOT,5
C110160,ALBANY,10--NYSDOT,10--NYSDOT,5
C110159,ALBANY,10--NYSDOT,10--NYSDOT,5
C110158,ALBANY,10--NYSDOT,10--NYSDOT,5
C110157,ALBANY,10--NYSDOT,10--NYSDOT,5.33300018310547
C110156,ALBANY,10--NYSDOT,10--NYSDOT,7
C110152,ALBANY,10--NYSDOT,10--NYSDOT,5
C110036,ALBANY,10--NYSDOT,10--NYSDOT,5
C110035,ALBANY,10--NYSDOT,10--NYSDOT,5
C110028,ALBANY,10--NYSDOT,10--NYSDOT,5
C110027,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C110026,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C110025,ALBANY,10--NYSDOT,10--NYSDOT,5
C110024,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C110022,ALBANY,10--NYSDOT,10--NYSDOT,3
C110021,ALBANY,10--NYSDOT,10--NYSDOT,5
C110020,ALBANY,10--NYSDOT,10--NYSDOT,5
C110019,ALBANY,10--NYSDOT,10--NYSDOT,7
C110018,ALBANY,10--NYSDOT,10--NYSDOT,7
C110017,ALBANY,10--NYSDOT,10--NYSDOT,5
C110032,ALBANY,10--NYSDOT,10--NYSDOT,5
C110030,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C110029,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C110090,ALBANY,10--NYSDOT,10--NYSDOT,5
C110097,ALBANY,10--NYSDOT,10--NYSDOT,5
C110098,ALBANY,10--NYSDOT,10--NYSDOT,7
C111856,ALBANY,10--NYSDOT,10--NYSDOT,3.33299994468689
C110166,ALBANY,10--NYSDOT,10--NYSDOT,7
C110091,ALBANY,10--NYSDOT,10--NYSDOT,7
C110092,ALBANY,10--NYSDOT,10--NYSDOT,5
C110105,ALBANY,10--NYSDOT,10--NYSDOT,2.33299994468689
C110106,ALBANY,10--NYSDOT,10--NYSDOT,7
C110107,ALBANY,10--NYSDOT,10--NYSDOT,5
C110112,ALBANY,10--NYSDOT,10--NYSDOT,5
C110111,ALBANY,10--NYSDOT,10--NYSDOT,5
C110110,ALBANY,10--NYSDOT,10--NYSDOT,5
C110109,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C110104,ALBANY,10--NYSDOT,10--NYSDOT,7
C110100,ALBANY,10--NYSDOT,10--NYSDOT,5
C110099,ALBANY,10--NYSDOT,10--NYSDOT,3
C110093,ALBANY,10--NYSDOT,10--NYSDOT,7
C110002,ALBANY,10--NYSDOT,10--NYSDOT,6.33300018310547
C110003,ALBANY,10--NYSDOT,10--NYSDOT,6.66699981689453
C110010,ALBANY,10--NYSDOT,10--NYSDOT,5
C110008,ALBANY,10--NYSDOT,10--NYSDOT,5
C110007,ALBANY,10--NYSDOT,10--NYSDOT,4.33300018310547
C110006,ALBANY,10--NYSDOT,10--NYSDOT,5
C110005,ALBANY,10--NYSDOT,10--NYSDOT,6.33300018310547
C110004,ALBANY,10--NYSDOT,10--NYSDOT,6.33300018310547
CA00449,ALBANY,10--NYSDOT,10--NYSDOT,6
C140124,ALBANY,10--NYSDOT,10--NYSDOT,5
C140123,ALBANY,10--NYSDOT,10--NYSDOT,5
C140121,ALBANY,10--NYSDOT,10--NYSDOT,7
