bin,county,primary_owner,primary_maintenance,condition_rating
CA00352,RENSSELAER,10--NYSDOT,10--NYSDOT,5
CA00353,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140136,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140005,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140004,RENSSELAER,10--NYSDOT,10--NYSDOT,3.66700005531311
C140003,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140002,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140001,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140007,RENSSELAER,10--NYSDOT,10--NYSDOT,5.66699981689453
C140008,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140036,RENSSELAER,10--NYSDOT,10--NYSDOT,4.14799976348877
C140103,RENSSELAER,10--NYSDOT,10--NYSDOT,3.66700005531311
C140077,RENSSELAER,10--NYSDOT,10--NYSDOT,3
C140075,RENSSELAER,10--NYSDOT,10--NYSDOT,5.66699981689453
C140070,RENSSELAER,10--NYSDOT,10--NYSDOT,4.66699981689453
C140081,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140072,RENSSELAER,10--NYSDOT,10--NYSDOT,6
C140078,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140069,RENSSELAER,10--NYSDOT,10--NYSDOT,4.66699981689453
C140060,RENSSELAER,10--NYSDOT,10--NYSDOT,3
C140050,RENSSELAER,10--NYSDOT,10--NYSDOT,2
C140042,RENSSELAER,10--NYSDOT,10--NYSDOT,6.33300018310547
C140055,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140059,RENSSELAER,10--NYSDOT,10--NYSDOT,3.66700005531311
C140064,RENSSELAER,10--NYSDOT,10--NYSDOT,6
C140041,RENSSELAER,10--NYSDOT,10--NYSDOT,6
C140063,RENSSELAER,10--NYSDOT,10--NYSDOT,4
C140068,RENSSELAER,10--NYSDOT,10--NYSDOT,6
C140054,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140048,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140040,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140053,RENSSELAER,10--NYSDOT,10--NYSDOT,6
C140043,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140058,RENSSELAER,10--NYSDOT,10--NYSDOT,3
C140039,RENSSELAER,10--NYSDOT,10--NYSDOT,2
C140061,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140052,RENSSELAER,10--NYSDOT,10--NYSDOT,3.66700005531311
C140051,RENSSELAER,10--NYSDOT,10--NYSDOT,3.33299994468689
C140082,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140114,RENSSELAER,10--NYSDOT,10--NYSDOT,4
C140113,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140112,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140111,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140110,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140109,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140108,RENSSELAER,10--NYSDOT,10--NYSDOT,4
C140107,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140115,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140011,RENSSELAER,10--NYSDOT,10--NYSDOT,4
C140010,RENSSELAER,10--NYSDOT,10--NYSDOT,3.66700005531311
C140085,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140084,RENSSELAER,10--NYSDOT,10--NYSDOT,4
C140083,RENSSELAER,10--NYSDOT,10--NYSDOT,3.66700005531311
C140087,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140086,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140088,RENSSELAER,10--NYSDOT,10--NYSDOT,3.65199995040894
C140130,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140129,RENSSELAER,10--NYSDOT,10--NYSDOT,7
CA00308,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140092,RENSSELAER,10--NYSDOT,10--NYSDOT,3
C140090,RENSSELAER,10--NYSDOT,10--NYSDOT,4.33300018310547
C075761,RENSSELAER,10--NYSDOT,10--NYSDOT,3
CA00309,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140097,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140096,RENSSELAER,10--NYSDOT,10--NYSDOT,6.33300018310547
C140095,RENSSELAER,10--NYSDOT,10--NYSDOT,4.33300018310547
C140099,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140098,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140094,RENSSELAER,10--NYSDOT,10--NYSDOT,6
C140093,RENSSELAER,10--NYSDOT,10--NYSDOT,3.66700005531311
C140104,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140018,RENSSELAER,10--NYSDOT,10--NYSDOT,5.66699981689453
C140014,RENSSELAER,10--NYSDOT,10--NYSDOT,3
C140022,RENSSELAER,10--NYSDOT,10--NYSDOT,5.66699981689453
C140017,RENSSELAER,10--NYSDOT,10--NYSDOT,5.66699981689453
C140020,RENSSELAER,10--NYSDOT,10--NYSDOT,4
C140028,RENSSELAER,10--NYSDOT,10--NYSDOT,5.66699981689453
C140034,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140033,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140030,RENSSELAER,10--NYSDOT,10--NYSDOT,7
C140032,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140029,RENSSELAER,10--NYSDOT,10--NYSDOT,5.66699981689453
C140035,RENSSELAER,10--NYSDOT,10--NYSDOT,5.66699981689453
C140024,RENSSELAER,10--NYSDOT,10--NYSDOT,3.66700005531311
CA00363,RENSSELAER,10--NYSDOT,10--NYSDOT,5.33300018310547
C140026,RENSSELAER,10--NYSDOT,10--NYSDOT,4.33300018310547
C140120,RENSSELAER,10--NYSDOT,10--NYSDOT,5
C140091,RENSSELAER,10--NYSDOT,10--NYSDOT,3
C140102,RENSSELAER,10--NYSDOT,10--NYSDOT,7
