county,type_of_service_under_bridge,type_of_service_under_bridge_code,total_bridges
Albany County,Other,0,10
Albany County,"Highway, with or without pedestrian",1,135
Albany County,Railroad,2,21
Albany County,Pedestrian-bicycle,3,1
Albany County,Highway-railroad,4,13
Albany County,Waterway,5,142
Albany County,Highway-waterway,6,8
Albany County,Railroad-waterway,7,7
Albany County,Highway-waterway-railroad,8,6
Allegany County,"Highway, with or without pedestrian",1,22
Allegany County,Railroad,2,3
Allegany County,Waterway,5,376
Allegany County,Railroad-waterway,7,2
Bronx County,Other,0,31
Bronx County,"Highway, with or without pedestrian",1,160
Bronx County,Railroad,2,64
Bronx County,Pedestrian-bicycle,3,4
Bronx County,Highway-railroad,4,8
Bronx County,Waterway,5,24
Bronx County,Highway-waterway,6,6
Bronx County,Railroad-waterway,7,1
Bronx County,Highway-waterway-railroad,8,8
Broome County,"Highway, with or without pedestrian",1,126
Broome County,Railroad,2,13
Broome County,Highway-railroad,4,7
Broome County,Waterway,5,285
Broome County,Highway-waterway,6,27
Broome County,Railroad-waterway,7,6
Broome County,Highway-waterway-railroad,8,2
Cattaraugus County,Other,0,3
Cattaraugus County,"Highway, with or without pedestrian",1,43
Cattaraugus County,Railroad,2,8
Cattaraugus County,Pedestrian-bicycle,3,1
Cattaraugus County,Highway-railroad,4,2
Cattaraugus County,Waterway,5,418
Cattaraugus County,Highway-waterway,6,6
Cattaraugus County,Highway-waterway-railroad,8,2
Cayuga County,"Highway, with or without pedestrian",1,9
Cayuga County,Railroad,2,5
Cayuga County,Waterway,5,131
Cayuga County,Highway-waterway-railroad,8,1
Chautauqua County,Other,0,2
Chautauqua County,"Highway, with or without pedestrian",1,98
Chautauqua County,Railroad,2,13
Chautauqua County,Highway-railroad,4,2
Chautauqua County,Waterway,5,433
Chautauqua County,Highway-waterway,6,6
Chautauqua County,Railroad-waterway,7,1
Chautauqua County,Highway-waterway-railroad,8,3
Chemung County,"Highway, with or without pedestrian",1,26
Chemung County,Railroad,2,9
Chemung County,Waterway,5,218
